category_name,Entity,complaint words
Air Pollution,bus|garbage,wood or garbage burnt|lot of dust due to speeding buses
BMTC - Driver or Conductor,gbus,rude behavious
BMTC - Need new Bus Route,bus,increase frequency of buses
BMTC - Others,bus|traffic,"need more bmtc buses|buses at regular intervals|traffic jams|no buses|need more buses|buses speeding lot|increase in bus service|extra buses,no proper timing,"
Bad Roads,roads|footpath|permit|pothole|roads|sewage,"worst road|road broken,road repair|road bad to commute|road repair|unpainted speed bumps (effectively invisible)|road in bad state|road going down|need good roads|road in pathetic state|roads worse|road not usable|roads not proper|slip over the road|made tar road|mud road,cant walk,bike stuck|multiple potholes and uneven small bumps.|mud road|road never repaired|road digged|road has been dug|construct road|widening footpaths|road condition poor|deep potholes|holes in road|misusing permits|road in bad shape|no tar road|potholes|no asphalted road|widen the road|ups and downs on roads|road bumpy and muddy|deep craters,humps,potholes|road bad|sewage cleaning|very bad roads|roads are not asphalted|build new lane|road destroyed|bad road|dangerous road due to potholes and unscientific humps|road damaged|road in bad condition|bad road service conditions,full of potholes,repair these roads|road not asphalted|troad bot tareed or asphalted|unscientific road humps|road not good|road dug|no road|pot holes|no tarred roads"
Broken Storm Water Drains,drain,drainage left open|no proper drainage system|no drainage lane|storm water drain filled with garbage
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,tank|sewage,sewage pipies narrow|sewage drain blocked|connect tank to drainage line
Desilting - Lakes,lake,clean lajke
Diseases,garbage|cat,waste dumped|garbage dump|garbage dumped|dead cat at residential place|garbage
Electricity,transformer|electricity|street light|electricity,complete power cut|street  light not working|street light is not there|frequent power cut|power cut|electric fixture protuding on road|power supply|powert outages|streetlight not working|transformer bursts
Flooding of Roads and Footpaths,water|roads|footpath|pothole|roads,"roads badly designed|footpath|not aintained road|many potholes|sanitary water from manhole|no proper roads and footpath ,not able to walk on street|no road maintainance"
Footpaths,garbage|footpath|drain,footpath enroached|no footpath|footpath driving|garbage|footpath|footpath bad|driving on footpath|drainage open|overflowing drains|plight to see footpath|provide footover bridge|footpath unusable
Garbage,clan|garbage|pothole|dump|roads|garbage|dustbin|drainage,"dumping garbage|dump yard|garbage collector  is not coming,people are dumping garbage|drainage waste not cleared|garbage segregation|no dustbin|garbage dump|dustbin|no garbage collection|place clan|dumping zone|garbage being dumped|garbage dumping|home for bad smell|garabge collection|garbage collection is not good|garbage|buring of garbage|no garbage bin|garbage ,dumpyard|potholes|dumping,garbage collecting vechicles not coming,bad smell|garbage auto irregular|garbage dumping|uncleared garbages|garbage pick upon payment|no garbage collection|no garbage collection,garbage segregation|lot of garbage on road|garbage point|lot of garbage|garbage set obn fire|liier in parking side|garbage burning|dump of garbage|garbage dump|need dustbin|irregular garbage collection|regular burning of garbage|no garbage vehicle|pipe line has become garbage house|dumped garbage|garabager dumping|garbage cleaning|garbage dumped|garbage pilling|no place to throw garbage|garabage|garbage not colelcted|throw garabge,not use van facility|garbage piled|garbage piled,clear garbage|garabge dumped|no proper way to dispose garbage|garbage mini truck once in week|permanent garbage pile which stinks nonstop|garbage autorikshaw not for week"
Hawkers and Vendors,footpath,footpath enroached|stores on footpath
Illegal posters and Hoardings,trees|parking,unauthorized no parking board|posters on trees
Lakes - Others,lake,lake polluted|lake in bad condition|lake in bad state
Maintenance of Roads and Footpaths - Others,roads,install a road divider
Manholes,manhole,open manhole|road full of manholes
Mosquitos,mosquitoes,mosquitoes
Need New Streetlights,street light|lightd,lights gone off|streetlight went off|no proper streetlight|damaged street light not fixed|install new streelight
New Bus Shelters,bus|bus,private bus operators are creating havoc near bus shelters|no enough buses|no bus shelter|create new bus stop|more number of buses|provide bus shelters
No Sewage Drains,drain|garbage|roads|sewage,"sewage water causing smell|flooded road|drainage overflow|cleaning sewage waste|blockage in street,low levelling of pipe|sopen drain clogged with garbage|sewage water block|damaging the roads|sewage problem|no sewage lines"
Noise Pollution,dog,dog barks
Others,traffic|bus|footpath|drain|center|bribery,drainage problems|enroachment of ffotpath|no utlity center|no sign board|grant a new bus route|bribery|footpath unusable
Overflow of Storm Water Drains,drain|sewage,sewage/storm water drain overflow|poor drainage system
Parking Violations,parking|footpath|roads,commuting nightmare|no parking zone|car parked on footpath
Parks and playgrounds,trees|park,tree collapse|plan a park
Potholes,roads|water|pothole|land|potholes|drain,"potholes filled with water and mud|road repair|drain water overflowing|roads to be tarred|potholes|huge and deep potholes|road is bad|dangerous pothole|terrible condition of road|road potholes|water logging|full of pot hole|dangeropus pothole|potholes|roads worst|strecth in bad condition|ridden with potholes|unusable road|deep path hole|road bad|potholes in road,roads slanted|big crater|unwalkable|bad road|full of potholes|full of dust and patholes|asphalting road|road worse|dangerous potholes|bad road,potholes|tar road|land become dumpyard|lot many potholes|new tar road|filled with potholes|bad road conditions|road full ogf potholes|pathetic conditon|rioad to be repaired|whole road is there to break our back,potholes|potholes,road uneven"
Public Nuisance,public|house|bar,bar in residential area|nuisance by house construction|public yelling on terrace
Repair of streetlights,street light,"not functioning,install more street light|non functional|no proper streetlight|street lights not working|streelights not working|not working|repair existing street lights|street lights are always on..|strretlight not working|streetlight fuse|not working strelights|street light is not working|street light not working|no streetlight|the streetlight has not installed|street light not working,area dark"
Sewage and Storm Water Drains - Others,manhole,manhole overflowing
Stray Dogs,"dog|dog|dogs,light|stray dogs|hoarding",dogs are scaring publics|straydogs|sterlize stray dogs|diseased dogs|dogs bark|illegal hoarding|stray dog|get rid of stary dogs|dogs running on vehicles|issue with street dogs and street lights|strret dogs|aggressive dogs|street dog bites|stary dogs|dog injured|dogs|stray dogs|dogs murmering|dogs menance|dog menance|stray dog attack|steralization program for stray  dogs|dogs in night|stray dogs|street dogs
Traffic,traffic|subway|skywalk|bus|roads|footpath|garbage|number plate|lake|parking|helmet|board|vechicle,"traffic signals,zebra crossings at junctions|more traffic|road not wide enough|parking on footpath|huge traffic|sky walk required|no traffic police|road blocked|congestion at junction blocked by vechicles|install road humps /speed breakers|heavy traffic|install height barrier|driving rashly|parking on road causing traffic jams|road widening,reach on time|signal timings|no helmet|loud vehicles|no sign board,no police to stop traffic|defective number plate|no helemt|stop line,pedestrain crossing|the bus will either breakdown or their will be no ac,|one way regulation traffic|road bad|wrong parking|one way road|helmetless|onw way rule violated|police violating traffic rules|lack of road infrastructure|road side selling|road repair and footpath widening|underground pass subway|more taffic & lack of bus facility|traffic rules|traffic jams|heavy raffic|one way board|obstructing traffic|severe traffic|footpath driving|traffic|traffic|garbage piled|road not tarred|lake polluted|traffic is too high need|riding on footpath|parked on footpath|no traffic controller|traffic jam is increasing"
"Trees, Parks and Playgrounds - Others",park,no public park and plackground
Water Leakage,water,water leakage|water provided in nights
